fund_symbol,rating,return_rating,risk_rating,investment_type,fund_net_annual_expense_ratio,category_net_annual_expense_ratio,asset_cash_ratio,asset_stocks,price_earnings_ratio,price_book_ratio,price_sales_ratio,price_cashflow_ratio,median_market_cap,net_asset_value,fund_return_ytd,category_return_ytd,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2019,category_return_2019,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,years_up,years_down,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
ABMIX,2,2,4,Value,0.9,1.09,0.87,99.13,20.21,1.77,0.85,8.06,6516.53,446680000,-13.18,-15.13,-8.38,-10.02,-3.81,-0.95,2.07,3.98,7.04,7.96,15.74,25.18,-18.37,-12.86,11.8,13.22,24.36,18.06,-10.13,-5.41,10.03,9.31,44.82,35.14,16.75,16.6,-6.3,-3.96,23.31,21.92,11,4,-4.34,-0.02,0.71,0.03,5,0.07
ACFFX,4,4,5,Growth,1.03,1.1,1.61,98.39,32.09,4.42,3.14,21.6,9029.17,442120000,1.51,6.08,9.1,12.71,7.17,5.73,9.96,7.86,7.26,6.47,33.71,27.83,-12.28,-14.08,35.7,30.87,1.19,-2.14,-1.03,0.95,-6.79,-3.92,14.75,18.58,22.42,17.7,-9.76,-12.3,21.89,14.78,13,8,4.97,-0.04,8.27,0.07,7.51,0.06
ACINX,2,2,3,Growth,0.99,1.36,2.62,97.39,27.23,3.46,2.55,18.11,4056.81,2210000000,-2.14,8.18,5.26,16.21,3.67,6.11,6.4,9.19,5.78,8.23,29.89,27.78,-15.93,-18.34,32.24,36.19,-2.28,-2.98,-1.33,7.05,-4.28,-5.4,22.33,26.61,21.6,22.2,-14.06,-14.72,22.7,23.04,17,10,1.78,0.04,4.71,0.08,5.31,0.08
ACIOX,3,4,5,Growth,1.23,1.36,0.17,99.83,27.37,4.09,2.02,15.35,3383.74,604760000,10.52,8.18,18.96,16.21,4.92,6.11,9.28,9.19,8.88,8.23,29.29,27.78,-22.6,-18.34,45.27,36.19,-5.2,-2.98,10.78,7.05,-7.33,-5.4,30.75,26.61,25.17,22.2,-14.67,-14.72,22.45,23.04,11,5,2.78,0.04,7.08,0.08,8.1,0.08
ADJEX,3,2,2,Growth,0.99,1.16,5.46,94.54,36,7.84,4.88,24.24,20316.01,104350000,11.01,14.82,17.16,22.59,12.99,13.64,11.22,13.1,11.06,12.76,30.01,32.52,-3.28,-6.65,23.22,23.91,2.48,6.03,-5.84,-0.95,6.42,7,36.36,34.93,7.74,14.07,2.09,-3.96,23.84,24.61,14,5,10.91,0.11,9.39,0.11,9.78,0.11
AEEIX,3,4,3,Value,1.06,1.24,0.48,99.52,17.95,1.2,4.25,13.68,7839.14,102490000,-18.79,-18.26,-19.17,-17.68,-0.3,-0.47,2.14,1.71,5.09,4.33,23.2,23.45,-4.86,-7.11,13.83,15.12,3.2,1.97,0.1,-0.92,14.06,11.67,6.01,2.92,29.83,31.78,-7.83,-10.1,18.84,17.22,10,4,-2.24,-0.02,1.13,0.01,4.98,0.04
AFGGX,4,4,3,Growth,1.46,1.1,0.92,99.08,29.36,4.16,2.34,14.66,15178.98,59240000,9.61,0.21,15.45,5.91,8.75,5.03,10.59,7.46,10.38,7.53,31.68,25.68,-13.57,-9.64,27.5,23.61,6.5,5.54,-2.07,-1.69,0.27,2.79,34.62,25.19,17.15,15.84,-5.41,-7.93,22.81,13.74,11,4,7.84,0.04,10.79,0.07,11.71,0.08
AGACX,3,2,1,Growth,2.08,1.28,6.85,92.07,17.42,2.31,1.21,13.97,9014.96,333600000,-22.91,0.85,-14.11,8.06,-2.36,4.26,-0.75,8.29,3.93,7.61,24.4,26.49,-15.1,-14.25,23.28,25.44,0.62,9.32,-3.16,-1.23,3.8,-0.42,23.15,30.99,16.58,18.46,-10.32,-11.76,18.53,20.56,15,7,-4.46,0.03,-2.18,0.07,3.82,0.07
AGAYX,3,3,1,Growth,1.08,1.28,6.85,92.07,17.42,2.31,1.21,13.97,9014.96,333600000,-22.72,0.85,-13.2,8.06,-1.37,4.26,0.25,8.29,4.97,7.61,25.78,26.49,-14.29,-14.25,24.48,25.44,1.67,9.32,-2.22,-1.23,4.86,-0.42,24.4,30.99,17.65,18.46,-9.35,-11.76,19.74,20.56,8,3,-3.38,0.03,-1.04,0.07,5.01,0.07
AGIRX,4,4,4,Growth,1.85,1.16,9.53,88.79,41.25,8.31,3.4,26.25,15191.84,110230000,34.53,14.82,41.03,22.59,17.71,13.64,15.43,13.1,13.19,12.76,29.13,32.52,-8.18,-6.65,28.84,23.91,0.82,6.03,-1.89,-0.95,8.86,7,35.52,34.93,15.63,14.07,-8.25,-3.96,18.62,24.61,12,4,14.88,0.11,12.85,0.11,11.02,0.11
AGISX,5,4,1,Growth,1.23,1.36,3.46,93.88,25.98,3.89,2.63,19.76,3126.13,124000000,-0.91,8.18,13.29,16.21,12.29,6.11,8.87,9.19,10.95,8.23,23.99,27.78,-9.43,-18.34,31.91,36.19,5.13,-2.98,-2.47,7.05,1.59,-5.4,9.55,26.61,32.22,22.2,-9.68,-14.72,37.59,23.04,7,3,12.26,0.04,9.36,0.08,12.77,0.08
AGSCX,4,4,3,Growth,2.2,1.21,9.12,90.71,45.37,6.93,3.5,25.76,8236.18,389690000,35.04,10.02,41.76,18.21,20.8,11.01,17.86,12.18,13.04,12.31,27.43,27.68,0.95,-5.76,27.25,21.5,4.64,11.2,-4.21,-2.41,-1,2.44,32.51,40.91,11.19,13.15,-4.27,-3.55,24.29,26.98,15,7,18.66,0.08,15.37,0.09,11.14,0.1
AGYCX,3,3,3,Blend,1.68,1.37,1.61,98.39,18.56,2.57,4.64,11.45,11074.59,802470000,21.96,26.52,27.8,36.96,16.98,15.22,18.71,18.23,-4.16,-4.24,36.47,38.98,-8.38,-17.8,9.59,11.33,51.35,54.81,-23.54,-23.25,-12.71,-10.03,-51.77,-48.8,-8.8,-9.2,-20.09,-20.68,43.24,41.56,5,7,16.15,0.12,20.65,0.16,-6.62,-0.05
AHGCX,3,3,3,Growth,2.01,1.16,1.6,98.4,32.83,7.52,4.38,25.11,19096.89,4960000000,16.63,14.82,23.73,22.59,15.08,13.64,12,13.1,11.39,12.76,34.25,32.52,-6.16,-6.65,20.6,23.91,2.24,6.03,0.86,-0.95,7.11,7,29.68,34.93,14.88,14.07,-7.42,-3.96,30.05,24.61,14,4,12.39,0.11,9.81,0.11,9.94,0.11
AIGYX,3,4,4,Blend,1.03,1.19,0.15,99.85,27.42,2.24,6.84,15.5,16627.29,48240000,-16.09,-16.3,-17.85,-17.05,0.76,0.4,3.35,2.65,7.96,7.05,27.74,27.28,-7.03,-5.97,8.5,6.22,8.03,6.89,3.6,2.41,31.68,28.03,2.06,1.55,18.37,17.6,9.27,7.51,28,27.08,18,3,-1.05,-0.01,2.67,0.02,9.25,0.09
AIOIX,3,4,5,Growth,1.43,1.36,0.17,99.83,27.37,4.09,2.02,15.35,3383.74,604760000,10.35,8.18,18.75,16.21,4.73,6.11,9.06,9.19,8.67,8.23,28.96,27.78,-22.71,-18.34,45.05,36.19,-5.44,-2.98,10.66,7.05,-7.5,-5.4,30.5,26.61,25.04,22.2,-14.94,-14.72,22.41,23.04,12,6,2.62,0.04,6.88,0.08,7.87,0.08
ALHIX,3,3,3,Blend,3.13,2.15,54.85,45.15,17.9,3.01,1.61,12.88,13886.89,33010000,-7.57,-1.35,-7.57,-1.29,-1.5,0.21,-1.22,0.73,0.75,1.04,-7.57,0.45,2.65,-0.26,0.72,2.37,-0.62,2.23,-0.97,-0.25,1.62,0.76,5.99,2.92,-1.22,0.18,5.87,-0.3,1.72,-2,8,6,17.17,-0.09,42.14,0.23,-2.16,-2.56
ALIAX,3,3,3,Blend,3.38,2.15,54.85,45.15,17.9,3.01,1.61,12.88,13886.89,33010000,-7.71,-1.35,-7.71,-1.29,-1.73,0.21,-1.46,0.73,0.5,1.04,-7.71,0.45,2.35,-0.26,0.46,2.37,-0.82,2.23,-1.26,-0.25,1.37,0.76,5.79,2.92,-1.61,0.18,5.72,-0.3,1.43,-2,8,6,18.72,-0.09,43.24,0.23,1.07,-2.56
ALICX,2,2,3,Blend,4.13,2.15,54.85,45.15,17.9,3.01,1.61,12.88,13886.89,33010000,-8.39,-1.35,-8.39,-1.29,-2.44,0.21,-2.18,0.73,-0.25,1.04,-8.39,0.45,1.56,-0.26,-0.2,2.37,-1.66,2.23,-1.92,-0.25,0.58,0.76,4.95,2.92,-2.27,0.18,4.87,-0.3,0.63,-2,7,7,20.86,-0.09,51.24,0.23,10.15,-2.56
ALIRX,3,3,3,Blend,3.63,2.15,54.85,45.15,17.9,3.01,1.61,12.88,13886.89,33010000,-8.06,-1.35,-8.06,-1.29,-1.98,0.21,-1.73,0.73,0.24,1.04,-8.06,0.45,2.14,-0.26,0.28,2.37,-1.21,2.23,-1.47,-0.25,1.11,0.76,5.48,2.92,-1.73,0.18,5.38,-0.3,1.13,-2,8,6,19.99,-0.09,49.94,0.23,4.62,-2.56
ALISX,3,3,3,Blend,2.93,2.15,54.85,45.15,17.9,3.01,1.61,12.88,13886.89,33010000,-7.38,-1.35,-7.38,-1.29,-1.29,0.21,-1.02,0.73,0.95,1.04,-7.38,0.45,2.85,-0.26,0.97,2.37,-0.44,2.23,-0.78,-0.25,1.77,0.76,6.3,2.92,-1.12,0.18,6.23,-0.3,1.81,-2,8,6,15.9,-0.09,38.69,0.23,-4.82,-2.56
ALMAX,4,4,5,Growth,1.31,1.16,3.7,96.28,40.06,7.48,3.38,27.99,4386.01,955010000,24.54,14.82,36.57,22.59,20.57,13.64,18.69,13.1,14.3,12.76,39.17,32.52,-4.17,-6.65,37.88,23.91,3.52,6.03,-2.11,-0.95,4.26,7,32.15,34.93,14.1,14.07,-4.19,-3.96,23.3,24.61,13,4,15.36,0.11,13.98,0.11,11.26,0.11
ALMCX,4,4,5,Growth,2.05,1.16,3.7,96.28,40.06,7.48,3.38,27.99,4386.01,955010000,23.87,14.82,35.62,22.59,19.66,13.64,17.79,13.1,13.43,12.76,37.97,32.52,-4.89,-6.65,36.89,23.91,2.68,6.03,-2.86,-0.95,3.45,7,31.14,34.93,13.14,14.07,-4.76,-3.96,22.28,24.61,13,4,14.63,0.11,13.28,0.11,10.56,0.11
ALMRX,4,4,4,Growth,1.35,1.16,9.53,88.79,41.25,8.31,3.4,26.25,15191.84,110230000,35.07,14.82,41.71,22.59,18.29,13.64,16.04,13.1,13.77,12.76,29.8,32.52,-7.79,-6.65,29.55,23.91,1.43,6.03,-1.37,-0.95,9.38,7,36.21,34.93,16.24,14.07,-7.75,-3.96,19.32,24.61,20,6,15.4,0.11,13.38,0.11,11.54,0.11
ALOIX,2,2,3,Growth,1.04,1.36,0.8,99.2,20.1,1.83,0.97,12.03,3463.02,74690000,-4.26,8.18,0.52,16.21,-1.19,6.11,3.66,9.19,5.99,8.23,24.57,27.78,-22.6,-18.34,39.28,36.19,-7.51,-2.98,15.74,7.05,-8.42,-5.4,32.95,26.61,21.2,22.2,-16.96,-14.72,25.5,23.04,14,8,-2.5,0.04,2.32,0.08,5.57,0.08
ALOPX,2,2,3,Growth,1.1,1.36,0.8,99.2,20.1,1.83,0.97,12.03,3463.02,74690000,-4.3,8.18,0.46,16.21,-1.24,6.11,3.6,9.19,5.91,8.23,24.48,27.78,-22.63,-18.34,39.23,36.19,-7.58,-2.98,15.63,7.05,-8.46,-5.4,32.86,26.61,21.04,22.2,-17.04,-14.72,25.3,23.04,14,8,-2.55,0.04,2.27,0.08,5.49,0.08
ALSAX,5,4,3,Growth,1.39,1.21,9.12,90.71,45.37,6.93,3.5,25.76,8236.18,389690000,35.92,10.02,42.8,18.21,21.75,11.01,18.82,12.18,14.04,12.31,28.44,27.68,1.77,-5.76,28.3,21.5,5.56,11.2,-3.5,-2.41,-0.18,2.44,33.72,40.91,12,13.15,-2.71,-3.55,25.3,26.98,16,7,19.6,0.08,16.3,0.09,12.05,0.1
ALSRX,5,4,3,Growth,1.35,1.21,5.5,93.81,46.04,7.26,4.03,26.68,8127.93,261200000,36.06,10.02,44.12,18.21,21.51,11.01,19.03,12.18,14.22,12.31,29.78,27.68,0.02,-5.76,28.43,21.5,7.13,11.2,-3.32,-2.41,-0.25,2.44,34.18,40.91,12.43,13.15,-2.91,-3.55,25.63,26.98,19,7,19.17,0.08,16.29,0.09,12.16,0.1
ALTEX,2,2,5,Blend,1.98,1.25,9.02,90.98,26.73,2.96,1.54,13.56,6068.99,10880000,49.15,26.32,59.08,37.14,19.39,18.72,15.32,20.32,4.81,16.17,40.59,37.49,-18.57,-3.21,27.35,35.35,-9.26,10.84,-9.75,5.21,-0.15,12.55,93.71,35.45,-23.57,13.08,-39.89,-7.62,-9.24,20,4,8,13.63,0.15,11.47,0.17,3.15,0.15
AMCSX,2,2,5,Value,1.45,1.09,3.78,96.22,15.88,1.26,0.67,6.18,7774.75,288930000,-18.58,-15.13,-13.51,-10.02,-5.15,-0.95,1.52,3.98,7.2,7.96,25.88,25.18,-20.17,-12.86,17.08,13.22,17.06,18.06,-4.39,-5.41,7.9,9.31,39.13,35.14,15.43,16.6,-0.09,-3.96,21.12,21.92,8,4,-4.91,-0.02,0.25,0.03,5.15,0.07
AMGAX,4,4,4,Growth,1.3,1.16,10.34,88.56,41.34,8.33,3.39,26.22,15339.53,235510000,34.68,14.82,41.35,22.59,18.38,13.64,15.95,13.1,13.34,12.76,29.85,32.52,-7.38,-6.65,29.77,23.91,0.76,6.03,-1.77,-0.95,7.62,7,35.6,34.93,16.09,14.07,-8.25,-3.96,18.73,24.61,17,6,15.6,0.11,13.45,0.11,11.2,0.11
AMGOX,4,4,4,Growth,1.01,1.16,9.75,89.17,41.34,8.34,3.39,26.22,15314.22,172280000,35.17,14.82,41.88,22.59,18.64,13.64,16.15,13.1,13.51,12.76,30.26,32.52,-7.44,-6.65,29.79,23.91,0.97,6.03,-1.56,-0.95,8.01,7,35.84,34.93,16.21,14.07,-8.27,-3.96,19.38,24.61,19,7,15.84,0.11,13.6,0.11,11.35,0.11
AMPAX,2,2,5,Value,1.18,1.09,3.78,96.22,15.88,1.26,0.67,6.18,7774.75,288930000,-18.43,-15.13,-13.3,-10.02,-4.91,-0.95,1.8,3.98,7.56,7.96,26.25,25.18,-19.97,-12.86,17.48,13.22,17.39,18.06,-4.11,-5.41,8.22,9.31,39.65,35.14,15.71,16.6,0.78,-3.96,21.37,21.92,9,4,-4.73,-0.02,0.45,0.03,5.42,0.07
AMVAX,4,4,2,Blend,1.24,1.22,3.35,96.65,13.15,1.61,1.16,8.15,4710.35,510330000,-16.7,-17.94,-12.67,-12.85,-2.15,-4.75,0.49,2.18,7.96,6.39,23.3,21.43,-16.69,-15.46,12.73,8.54,17.28,25.99,-6.4,-6.71,6.55,3.34,34.78,36.22,18.2,16,-8.33,-4.45,22.69,26.17,13,4,-3.01,-0.05,-0.54,0.01,6.05,0.05
AMVCX,4,3,2,Blend,1.99,1.22,3.35,96.65,13.15,1.61,1.16,8.15,4710.35,510330000,-17.02,-17.94,-13.26,-12.85,-2.86,-4.75,-0.26,2.18,7.17,6.39,22.63,21.43,-17.46,-15.46,11.91,8.54,16.47,25.99,-7.11,-6.71,5.71,3.34,33.76,36.22,17.42,16,-9.1,-4.45,21.86,26.17,13,4,-3.57,-0.05,-1.14,0.01,5.4,0.05
AMVRX,5,4,1,Value,1.48,1.09,1.78,98.22,18.77,1.96,0.96,9.29,14763.29,7140000000,-12.9,-15.13,-7.75,-10.02,-0.06,-0.95,5.03,3.98,9.15,7.96,28.24,25.18,-13.44,-12.86,11.02,13.22,22.17,18.06,-2.07,-5.41,15.76,9.31,29.34,35.14,15.89,16.6,-1.22,-3.96,18.97,21.92,9,5,-1.62,-0.02,3.77,0.03,8.8,0.07
APHMX,5,4,3,Growth,0.96,1.16,2.14,97.86,41.55,5.76,4.77,27.96,21604.61,6630000000,34.32,14.82,42.32,22.59,21.71,13.64,16.36,13.1,15.28,12.76,38.45,32.52,-3.78,-6.65,20.75,23.91,-0.64,6.03,2.42,-0.95,5.96,7,37.74,34.93,19.84,14.07,-1.81,-3.96,31.9,24.61,13,6,20.28,0.11,14.65,0.11,14.28,0.11
APIFX,2,2,2,Growth,2.89,0.73,2.05,97.95,25.52,3.35,1.96,12.67,20598.55,15130000,0.26,-2.89,3.69,2.47,2.3,4.23,4.53,6.84,5.92,8.4,18.2,24.78,-12.29,-9.27,16.12,18.41,5.94,8.45,-3.96,-1.74,1.09,5.5,27.24,26.84,11.4,15.29,-4.99,-4.13,17.88,14.83,7,3,0.48,0.02,2.28,0.04,3.49,0.05
APILX,2,2,2,Growth,3.64,0.73,2.05,97.95,25.52,3.35,1.96,12.67,20598.55,15130000,-0.35,-2.89,2.91,2.47,1.52,4.23,3.8,6.84,5.29,8.4,17.35,24.78,-13.02,-9.27,15.29,18.41,5.41,8.45,-4.44,-1.74,0.59,5.5,26.58,26.84,10.9,15.29,-5.48,-4.13,17.3,14.83,7,3,-0.04,0.02,1.78,0.04,3.07,0.05
APITX,4,4,3,Growth,2.46,1.1,0.92,99.08,29.36,4.16,2.34,14.66,15178.98,59240000,8.63,0.21,14.31,5.91,7.66,5.03,9.48,7.46,9.27,7.53,30.42,25.68,-14.46,-9.64,26.24,23.61,5.45,5.54,-3.03,-1.69,-0.76,2.79,33.3,25.19,16.02,15.84,-6.29,-7.93,21.45,13.74,23,11,6.65,0.04,9.51,0.07,10.39,0.08
APPLX,2,2,5,Value,1.25,1.01,6.42,76.83,14.13,1.5,0.94,4.96,5994.6,82340000,-14.39,-5.47,-6.6,-2.08,-0.08,1.1,3.1,3.97,4.11,4.61,15.68,16.1,-3.41,-8.26,17.42,14.79,9.94,6.04,-9.12,-4.15,-1.68,1.54,19.09,10.07,13.31,10.74,-2.57,-3.99,4.92,10.58,7,6,-0.98,0,1.15,0.03,2.37,0.04
ARGFX,2,3,5,Value,1.02,1.09,1.89,98.11,14.02,1.6,0.83,8.05,5551.87,1600000000,-14.4,-15.13,-8.69,-10.02,-0.38,-0.95,3.68,3.98,8.34,7.96,24.67,25.18,-13.67,-12.86,15.88,13.22,15.56,18.06,-4.1,-5.41,10.95,9.31,44.68,35.14,20.32,16.6,-11.34,-3.96,25.97,21.92,24,9,-1.46,-0.02,1.84,0.03,5.54,0.07
ARGYX,3,3,3,Value,1.02,1.24,2.28,96.35,17.44,1.19,3.76,14.36,8773.78,520300000,-21.62,-18.26,-20.98,-17.68,-2.09,-0.47,0.46,1.71,3.82,4.33,22.79,23.45,-6.07,-7.11,13.02,15.12,1.82,1.97,-1.36,-0.92,14.41,11.67,2.64,2.92,28.04,31.78,-6.84,-10.1,17.37,17.22,8,3,-4.37,-0.02,-0.83,0.01,3.67,0.04
ARIIX,4,4,3,Value,0.7,1.24,0.58,99.42,16.59,1.2,4.33,12.71,8156.24,215930000,-18.38,-18.26,-18.8,-17.68,0.15,-0.47,2.57,1.71,5.53,4.33,23.53,23.45,-4.32,-7.11,14.43,15.12,3.44,1.97,0.38,-0.92,14.56,11.67,5.91,2.92,30.46,31.78,-6.92,-10.1,18.88,17.22,16,6,-1.71,-0.02,1.64,0.01,5.49,0.04
ARSPX,3,3,3,Growth,1.38,1.28,1.18,98.82,24.99,2.63,1.49,15.35,3878.66,75060000,3.53,0.85,9.2,8.06,3.04,4.26,6.2,8.29,9.53,7.61,22.86,26.49,-16.55,-14.25,27.2,25.44,1.57,9.32,2.41,-1.23,-1.36,-0.42,40.18,30.99,20.86,18.46,-5.24,-11.76,31.07,20.56,8,3,1.27,0.03,4.71,0.07,9.36,0.07
ARTJX,3,3,3,Growth,1.4,1.36,5.68,94.31,34.6,4.02,2.17,19.57,4019.27,3750000000,9.7,8.18,18.51,16.21,9.19,6.11,7.69,9.19,7.95,8.23,36.25,27.78,-16.84,-18.34,33.35,36.19,-12.88,-2.98,11.02,7.05,-11.95,-5.4,29.13,26.61,34.67,22.2,-15.21,-14.72,14.38,23.04,12,6,7.33,0.04,6.41,0.08,7.72,0.08
ARTMX,4,4,3,Growth,1.19,1.16,2.14,97.86,41.55,5.76,4.77,27.96,21604.61,6630000000,34.09,14.82,42.02,22.59,21.43,13.64,16.09,13.1,14.99,12.76,38.12,32.52,-4.02,-6.65,20.48,23.91,-0.89,6.03,2.17,-0.95,5.68,7,37.39,34.93,19.52,14.07,-2.08,-3.96,31.57,24.61,16,6,20.01,0.11,14.4,0.11,14,0.11
ARTQX,3,3,4,Value,1.21,1.09,1.89,98.11,16.3,1.81,0.76,8.29,11588.88,1640000000,-13.94,-15.13,-9.65,-10.02,-1.28,-0.95,3.76,3.98,7.05,7.96,23.53,25.18,-13.57,-12.86,12.36,13.22,22.47,18.06,-9.89,-5.41,1.52,9.31,35.8,35.14,11.39,16.6,6.42,-3.96,14.37,21.92,14,4,-2.33,-0.02,2.11,0.03,5.74,0.07
ASIMX,4,4,5,Growth,1.26,1.16,3.7,96.28,40.06,7.48,3.38,27.99,4386.01,955010000,24.58,14.82,36.69,22.59,20.59,13.64,18.73,13.1,14.34,12.76,39.21,32.52,-4.23,-6.65,37.9,23.91,3.74,6.03,-2.31,-0.95,4.26,7,32.14,34.93,14.1,14.07,-3.91,-3.96,23.41,24.61,8,4,15.34,0.11,14,0.11,11.29,0.11
ASIRX,5,4,3,Growth,1.81,1.21,5.5,93.81,46.04,7.26,4.03,26.68,8127.93,261200000,35.51,10.02,43.38,18.21,20.93,11.01,18.45,12.18,13.66,12.31,29.15,27.68,-0.45,-5.76,27.73,21.5,6.62,11.2,-3.75,-2.41,-0.73,2.44,33.53,40.91,11.85,13.15,-3.39,-3.55,25.01,26.98,11,5,18.62,0.08,15.78,0.09,11.67,0.1
ATDAX,1,1,4,Value,1.38,1.05,0.32,99.68,17.04,1.42,0.69,11.19,8976.26,102460000,-14.29,-6.28,-10.27,-0.89,-3.39,3.18,3.25,6.39,6.93,9.18,21.75,26.21,-17.08,-11.15,17.43,15.93,20.85,14.14,-10.79,-4.75,7.61,7.8,28,34.1,18.51,16.15,-2.15,-3.81,23.65,22.52,11,5,-3.88,0.01,1.59,0.05,5.48,0.08
